ano,idade_num,obitos,exposicao,Mx
2012,92,11745,71316,0.16468955073195357
2012,93,9979,63093,0.15816334617152458
2012,94,8626,57346,0.1504202559899557
2012,95,6832,27126,0.25186168251861685
2012,96,5875,11239,0.5227333392650592
2012,97,4726,6724,0.7028554431885782
2012,98,3359,4805,0.6990634755463059
2012,99,2678,3722,0.7195056421278883
2012,ou mais,100,6825,15376,0.4438735691987513
2014,16,3693,479996,0.007693814115117626
2014,17,4769,1158473,0.004116625937764626
2014,18,5367,2554679,0.0021008510266847615
2014,19,5745,3062187,0.0018761101134581264
2014,20,5947,3174375,0.0018734396534750934
2014,21,5737,3202659,0.0017913240216957222
2014,22,5425,3156318,0.001718774850949746
2014,23,5364,3125188,0.0017163767427751547
2014,24,5557,3099354,0.001792954273697035
2014,25,5671,3380715,0.001677455804467398
2014,26,5598,3326480,0.0016828599600779203
2014,27,5642,3290462,0.001714652835984734
2014,28,5712,3260566,0.0017518430849122514
2014,29,5519,3234136,0.0017064835863426894
2014,30,5818,3437661,0.0016924298236504413
2014,31,6283,3371804,0.0018633941949176168
2014,32,6467,3328205,0.001943089443108222
2014,33,6218,3292403,0.0018885901877747043
2014,34,6395,3261134,0.0019609743113898417
2014,35,6701,3110238,0.0021544975014773787
2014,36,6716,3034937,0.002212896017281413
2014,37,6637,2986089,0.002222639713685694
2014,38,6857,2946802,0.002326929328811369
2014,39,6930,2912483,0.002379413030050304
2014,40,7370,2788608,0.002642895666942073
2014,41,7521,2703557,0.0027818906721774313
2014,42,7730,2650100,0.0029168710614693783
2014,43,8201,2608119,0.0031444117388815464
2014,44,8652,2572051,0.0033638524274985215
2014,45,9263,2665497,0.0034751492873561665
2014,46,9799,2565892,0.003818944834778705
2014,47,10442,2505690,0.004167315190626135
2014,48,10897,2459499,0.004430577121600781
2014,49,11342,2420288,0.004686219160694925
2014,50,12729,2441561,0.0052134679412064655
2014,51,12998,2336547,0.005562909712494548
2014,52,13057,2273100,0.005744137961374335
2014,53,13588,2225184,0.0061064613083682065
2014,54,14466,2185303,0.006619676996736837
2014,55,15008,2069069,0.007253503870581406
2014,56,16414,1964022,0.008357340192726966
2014,57,16609,1901489,0.00873473367450456
2014,58,17012,1855001,0.00917088454399755
2014,59,17345,1816693,0.009547568026078155
2014,60,18256,1688706,0.010810644363198804
2014,61,18304,1587269,0.011531756746966016
2014,62,18883,1529566,0.012345331943832433
2014,63,19566,1487482,0.013153772617080409
2014,64,20003,1453498,0.013761972840691904
2014,65,20123,1264817,0.01590981145889089
2014,66,21143,1172511,0.018032240209260298
2014,67,21294,1122075,0.018977341086825746
2014,68,20906,1086148,0.01924783731130564
2014,69,21446,1057367,0.02028245632784076
2014,70,22593,930802,0.02427261651779863
2014,71,22778,848450,0.026846602628322235
2014,72,22367,806046,0.027749036655476237
2014,73,23004,776248,0.02963485896259958
2014,74,26058,752464,0.03463022815709456
2014,75,25303,672577,0.03762097127912492
2014,76,24968,601234,0.04152792423582166
2014,77,25786,565848,0.045570541912315674
2014,78,27637,541101,0.051075492375730225
2014,79,26308,521284,0.05046769131605804
2014,80,25159,446952,0.05629016091213374
2014,81,25505,387979,0.06573809407210184
2014,82,25865,359648,0.07191754159622742
2014,83,26403,339886,0.07768192864666389
2014,84,26395,324469,0.081348295214643
2014,85,24734,309341,0.07995707002951435
2014,86,23854,260736,0.09148717476681394
2014,87,22362,238504,0.09375943380404521
2014,88,20916,223356,0.09364422715306506
2014,89,18996,211756,0.08970702128865297
2014,90,16727,164581,0.10163384594819572
2014,91,15034,129026,0.11651915117883217
2014,92,12581,113307,0.11103462275058028
2014,93,10791,103356,0.10440613026819924
2014,94,9649,96033,0.10047587808357544
2014,95,7688,33851,0.2271129361023308
2014,96,6584,15539,0.4237080893236373
2014,97,4963,10064,0.49314387917329094
2014,98,4165,7372,0.5649755832881173
2014,99,3088,5900,0.5233898305084745
2014,ou mais,100,7997,21271,0.3759578769216304
2016,16,3702,833333,0.0044424017769607105
2016,17,4670,1477787,0.003160130654823733
2016,18,5342,2443759,0.002185976604075934
2016,19,5611,2855521,0.0019649654126164717
2016,20,5851,3113572,0.0018791921304533827
2016,21,6000,3196887,0.0018768257995981717
2016,22,5762,3148000,0.0018303684879288438
2016,23,5498,3115124,0.0017649377681273682
2016,24,5208,3087735,0.0016866732410650525
2016,25,5166,3205229,0.0016117413139591587
2016,26,5192,3149860,0.0016483272272418456
2016,27,5586,3112769,0.0017945437004801834
2016,28,5729,3082058,0.0018588229033976648
2016,29,5651,3054656,0.0018499628108697018
2016,30,5643,3337038,0.0016910205997054874
2016,31,5688,3269553,0.0017396873517572585
2016,32,5915,3225067,0.0018340704239632852
2016,33,6413,3188429,0.0020113353629640177
2016,34,6439,3156040,0.0020402149529156794
2016,35,6626,3201107,0.002069908940875766
2016,36,6820,3123702,0.0021833068583366785
2016,37,6909,3072962,0.0022483193739460494
2016,38,7182,3031866,0.0023688382006328778
2016,39,7229,2995629,0.002413182673822426
2016,40,7400,2823887,0.0026205014577424662
2016,41,7812,2737524,0.0028536736116286103
2016,42,7933,2682387,0.0029574405184635924
2016,43,8322,2638311,0.003154290756472607
2016,44,8666,2600707,0.0033321708289322863
2016,45,9103,2640251,0.0034477782604759926
2016,46,9617,2542293,0.003782805522416181
2016,47,10875,2481531,0.004382375235288215
2016,48,11193,2434175,0.004598272515328602
2016,49,11729,2394193,0.0048989367189696065
2016,50,12554,2514769,0.004992108619121677
2016,51,13503,2409074,0.005605058209087807
2016,52,14108,2343000,0.006021340162185232
2016,53,14668,2292500,0.006398255179934569
2016,54,15040,2250372,0.00668333946565279
2016,55,15661,2156169,0.0072633453129137835
2016,56,16763,2050458,0.008175246700980951
2016,57,17469,1984659,0.008802015862674645
2016,58,19053,1935035,0.0098463335288509
2016,59,18978,1893935,0.010020407247344813
2016,60,19622,1788379,0.010971947221478222
2016,61,20308,1684339,0.012056955280380019
2016,62,20908,1621908,0.01289099011781186
2016,63,21267,1575492,0.013498640424705425
2016,64,22082,1538261,0.014355171196565472
2016,65,22461,1381154,0.016262487745754638
2016,66,23352,1284159,0.018184664048610803
2016,67,23185,1228975,0.018865314591427818
2016,68,24370,1189210,0.020492595925025857
2016,69,24197,1157331,0.020907588235344946
2016,70,24123,973742,0.02477350263211405
2016,71,24572,887839,0.02767618903877843
2016,72,25391,841923,0.030158339895691173
2016,73,26040,809498,0.03216808441775026
2016,74,25346,783605,0.03234537809227864
2016,75,26051,697460,0.03735124594958851
2016,76,29085,622701,0.046707810008334655
2016,77,28451,585008,0.048633522960369775
2016,78,27721,558562,0.0496292264779917
2016,79,28440,537699,0.052892045549647666
2016,80,29930,465155,0.06434414335006611
2016,81,28583,403324,0.07086858208289118
2016,82,27059,373106,0.07252362599368543
2016,83,27124,352394,0.07697066351867513
2016,84,27069,336294,0.08049206943924067
2016,85,27187,306793,0.08861675461956434
2016,86,26717,256761,0.10405396458184848
2016,87,24785,233354,0.10621202122097757
2016,88,23075,218038,0.10583017639127125
2016,89,21709,206346,0.10520678859779206
2016,90,19450,188566,0.10314690877464654
2016,91,17270,151206,0.11421504437654591
2016,92,14758,134805,0.1094766514595156
2016,93,12697,124381,0.10208150762576278
2016,94,10224,116647,0.08764906084168474
2016,95,8554,56309,0.15191177254080165
2016,96,7247,34140,0.21227299355594612
2016,97,5495,26132,0.2102785856421246
2016,98,4428,21757,0.2035207059796847
2016,99,3518,18887,0.18626568539206861
2016,ou mais,100,9266,30431,0.30449212973612433
2018,16,2991,403630,0.007410251963431856
2018,17,3979,996606,0.003992550717133953
2018,18,4958,2324698,0.0021327501464706382
2018,19,5133,2814032,0.0018240730737958915
2018,20,5514,3030108,0.0018197371182809327
2018,21,5455,3216487,0.0016959496494156512
2018,22,5548,3167273,0.0017516646023250917
2018,23,5519,3133693,0.0017611808176486977
2018,24,4966,3105510,0.0015990932246233308
2018,25,5073,3129626,0.001620960459812131
2018,26,4953,3073153,0.0016116997754423552
2018,27,4783,3035447,0.001575715207677815
2018,28,4890,3004153,0.0016277466560458138
2018,29,5251,2976357,0.0017642372873952956
2018,30,5458,3269684,0.001669274461996939
2018,31,5318,3201083,0.0016613127494663526
2018,32,5537,3155837,0.0017545266121158983
2018,33,5534,3118765,0.0017744203234293062
2018,34,5815,3085560,0.00188458496998924
2018,35,6280,3345479,0.0018771601914105574
2018,36,6678,3266366,0.002044473889331447
2018,37,6634,3213531,0.0020643958312522893
2018,38,6877,3170329,0.0021691755019747163
2018,39,7020,3132750,0.002240842710079004
2018,40,7516,2961814,0.0025376340310363853
2018,41,7359,2874204,0.002560361059966516
2018,42,7778,2816332,0.0027617482597932347
2018,43,8148,2769856,0.0029416691698052173
2018,44,8323,2730021,0.003048694497221816
2018,45,8982,2694214,0.0033338108999507836
2018,46,9249,2599761,0.0035576347210378185
2018,47,9768,2537745,0.0038490864921416454
2018,48,10430,2488787,0.004190796560734205
2018,49,11273,2446849,0.004607149848642069
2018,50,12202,2586776,0.004717068659984475
2018,51,12578,2483657,0.005064306383691468
2018,52,13361,2415997,0.005530222098785719
2018,53,14280,2363321,0.006042344649753461
2018,54,15499,2319059,0.006683314223570854
2018,55,15939,2284819,0.006976044929598362
2018,56,16244,2180084,0.007451089040605775
2018,57,17338,2111584,0.008210897601042629
2018,58,18015,2058854,0.008750013356945174
2018,59,18945,2014636,0.009403683841646828
2018,60,20447,1926620,0.010612886817327756
2018,61,20904,1823591,0.011463096714120656
2018,62,21222,1757542,0.012074818126679192
2018,63,22028,1707086,0.012903860731093805
2018,64,22902,1666166,0.013745329096860697
2018,65,23087,1498039,0.015411481276522173
2018,66,23897,1400083,0.017068273809481296
2018,67,24309,1340494,0.01813435942272028
2018,68,25122,1296609,0.019375154730531717
2018,69,25238,1261008,0.02001414741222895
2018,70,26210,1073031,0.024426134939251522
2018,71,25893,983963,0.02631501387755434
2018,72,25713,933626,0.027541006784301207
2018,73,26223,897339,0.029223069542280006
2018,74,27136,868434,0.0312470492864167
2018,75,27202,735729,0.03697285277595419
2018,76,26864,658688,0.04078410415856976
2018,77,27163,617910,0.043959476299137414
2018,78,30275,589056,0.05139579259017819
2018,79,29240,566130,0.05164891456026001
2018,80,28579,477401,0.05986372043627893
2018,81,28568,413048,0.0691638744165327
2018,82,30142,381018,0.07910912345348514
2018,83,28481,358759,0.07938755543414938
2018,84,26327,341421,0.07711007817328167
2018,85,26343,287285,0.09169639904624327
2018,86,26331,237075,0.11106611831698829
2018,87,25667,213437,0.12025562578184663
2018,88,24755,197590,0.1252846803988056
2018,89,22238,185808,0.11968268319986222
2018,90,20007,183195,0.10921149594694178
2018,91,18321,145433,0.12597553512614057
2018,92,15856,129266,0.12266179815264648
2018,93,13893,119126,0.11662441448550274
2018,94,11383,111748,0.10186312059276229
2018,95,9437,81371,0.11597497880080126
2018,96,7393,57874,0.1277430279572865
2018,97,5902,49015,0.12041211873916148
2018,98,4858,43849,0.11078929964195307
2018,99,3571,40225,0.08877563704164076
2018,ou mais,100,10219,39026,0.2618510736432122
2020,16,2451,299512,0.008183311520072652
2020,17,3401,851779,0.00399281973375723
2020,18,4190,1640374,0.0025542955447964916
